AGE75591.1	HD73_0001
AGE76523.1	HD73_0945
AGE76524.1	HD73_0946
AGE76525.1	HD73_0947
AGE76526.1	HD73_0948
AGE76527.1	HD73_0949
AGE76528.1	HD73_0950
AGE76529.1	HD73_0951
AGE76530.1	HD73_0952
AGE76531.1	HD73_0953
AGE76532.1	HD73_0954
AGE76533.1	HD73_0955
AGE76534.1	HD73_0956
AGE76535.1	HD73_0957
AGE76536.1	HD73_0958
AGE76537.1	HD73_0959
AGE76538.1	HD73_0960
AGE76539.1	HD73_0961
AGE76540.1	HD73_0962
AGE76541.1	HD73_0963
AGE76542.1	HD73_0964
AGE76543.1	HD73_0965
AGE76544.1	HD73_0966
AGE76545.1	HD73_0967
AGE76546.1	HD73_0968
AGE76547.1	HD73_0969
AGE76548.1	HD73_0970
AGE76549.1	HD73_0971
AGE76550.1	HD73_0972
AGE76551.1	HD73_0973
AGE76552.1	HD73_0974
AGE76553.1	HD73_0975
AGE76554.1	HD73_0976
AGE76555.1	HD73_0977
AGE76556.1	HD73_0978
AGE76557.1	HD73_0979
AGE76558.1	HD73_0980
AGE76559.1	HD73_0981
AGE76560.1	HD73_0982
AGE76561.1	HD73_0983
AGE76562.1	HD73_0984
AGE76563.1	HD73_0985
AGE76564.1	HD73_0986
AGE76565.1	HD73_0987
AGE76566.1	HD73_0988
AGE76567.1	HD73_0989
AGE76568.1	HD73_0990
AGE76569.1	HD73_0991
AGE76570.1	HD73_0992
AGE76571.1	HD73_0993
AGE76572.1	HD73_0994
AGE76573.1	HD73_0995
AGE76574.1	HD73_0996
AGE76575.1	HD73_0997
AGE76576.1	HD73_0998
AGE76577.1	HD73_0999
AGE76578.1	HD73_1000
AGE76579.1	HD73_1001
AGE76580.1	HD73_1002
AGE76581.1	HD73_1003
AGE76582.1	HD73_1004
AGE76583.1	HD73_1005
AGE76584.1	HD73_1006
AGE76585.1	HD73_1007
AGE76586.1	HD73_1008
AGE76587.1	HD73_1009
AGE76588.1	HD73_1010
AGE76589.1	HD73_1011
AGE76590.1	HD73_1012
AGE76591.1	HD73_1013
AGE76592.1	HD73_1014
AGE76593.1	HD73_1015
AGE76594.1	HD73_1016
AGE76595.1	HD73_1017
AGE76596.1	HD73_1018
AGE76597.1	HD73_1019
AGE76598.1	HD73_1020
AGE76599.1	HD73_1021
AGE76600.1	HD73_1022
AGE76601.1	HD73_1023
AGE76602.1	HD73_1024
AGE76603.1	HD73_1025
AGE76604.1	HD73_1026
AGE76605.1	HD73_1027
AGE76606.1	HD73_1028
AGE76607.1	HD73_1029
AGE76608.1	HD73_1030
AGE76609.1	HD73_1031
AGE76610.1	HD73_1032
AGE76611.1	HD73_1033
AGE76612.1	HD73_1034
AGE76613.1	HD73_1035
AGE76614.1	HD73_1036
AGE76615.1	HD73_1037
AGE76616.1	HD73_1038
AGE76617.1	HD73_1039
AGE76618.1	HD73_1040
AGE76619.1	HD73_1041
AGE76620.1	HD73_1042
AGE76621.1	HD73_1043
AGE76622.1	HD73_1044
AGE76623.1	HD73_1045
AGE76624.1	HD73_1046
AGE76625.1	HD73_1047
AGE76626.1	HD73_1048
AGE76627.1	HD73_1049
AGE76628.1	HD73_1050
AGE76629.1	HD73_1051
AGE76630.1	HD73_1052
AGE76631.1	HD73_1053
AGE76632.1	HD73_1054
AGE76633.1	HD73_1055
AGE76634.1	HD73_1056
AGE76635.1	HD73_1057
AGE76636.1	HD73_1058
AGE76637.1	HD73_1059
AGE76638.1	HD73_1060
AGE76639.1	HD73_1061
AGE76640.1	HD73_1062
AGE76641.1	HD73_1063
AGE76642.1	HD73_1064
AGE76643.1	HD73_1065
AGE76644.1	HD73_1066
AGE76645.1	HD73_1067
AGE76646.1	HD73_1068
AGE76647.1	HD73_1069
AGE76648.1	HD73_1070
AGE76649.1	HD73_1071
AGE76650.1	HD73_1072
AGE76651.1	HD73_1073
AGE76652.1	HD73_1074
AGE76653.1	HD73_1075
AGE76654.1	HD73_1076
AGE76655.1	HD73_1077
AGE76656.1	HD73_1078
AGE76657.1	HD73_1079
AGE76658.1	HD73_1080
AGE76659.1	HD73_1081
AGE76660.1	HD73_1082
AGE76661.1	HD73_1083
AGE76662.1	HD73_1084
AGE76663.1	HD73_1085
AGE76664.1	HD73_1086
AGE76665.1	HD73_1087
AGE76666.1	HD73_1088
AGE76667.1	HD73_1089
AGE76668.1	HD73_1090
AGE76669.1	HD73_1091
AGE76670.1	HD73_1092
AGE76671.1	HD73_1093
AGE76672.1	HD73_1094
AGE76673.1	HD73_1095
AGE76674.1	HD73_1096
AGE76675.1	HD73_1097
AGE76676.1	HD73_1098
AGE76677.1	HD73_1099
AGE76678.1	HD73_1100
AGE76679.1	HD73_1101
AGE76680.1	HD73_1102
AGE76681.1	HD73_1103
AGE76682.1	HD73_1104
AGE76683.1	HD73_1105
AGE76684.1	HD73_1106
AGE76685.1	HD73_1107
AGE76686.1	HD73_1108
AGE76687.1	HD73_1109
AGE76688.1	HD73_1110
AGE76689.1	HD73_1111
AGE76690.1	HD73_1112
AGE76691.1	HD73_1113
AGE76692.1	HD73_1114
AGE76693.1	HD73_1115
AGE76694.1	HD73_1116
AGE76695.1	HD73_1117
AGE76696.1	HD73_1118
AGE76697.1	HD73_1119
AGE76698.1	HD73_1120
AGE76699.1	HD73_1121
AGE76700.1	HD73_1122
AGE76701.1	HD73_1123
AGE76702.1	HD73_1124
AGE76703.1	HD73_1125
AGE76704.1	HD73_1126
AGE76705.1	HD73_1127
AGE76706.1	HD73_1128
AGE76707.1	HD73_1129
AGE76708.1	HD73_1130
AGE76709.1	HD73_1131
AGE76710.1	HD73_1132
AGE76711.1	HD73_1133
AGE76712.1	HD73_1134
AGE76713.1	HD73_1135
AGE76714.1	HD73_1136
AGE76715.1	HD73_1137
AGE76716.1	HD73_1138
AGE76717.1	HD73_1139
AGE76718.1	HD73_1140
AGE76719.1	HD73_1141
AGE76720.1	HD73_1142
AGE76721.1	HD73_1143
AGE76722.1	HD73_1144
AGE76723.1	HD73_1145
AGE76724.1	HD73_1146
AGE76725.1	HD73_1147
AGE76726.1	HD73_1148
AGE76727.1	HD73_1149
AGE76728.1	HD73_1150
AGE76729.1	HD73_1151
AGE76730.1	HD73_1152
AGE76731.1	HD73_1153
AGE76732.1	HD73_1154
AGE76733.1	HD73_1155
AGE76734.1	HD73_1156
AGE76735.1	HD73_1157
AGE76736.1	HD73_1158
AGE76737.1	HD73_1159
AGE76738.1	HD73_1160
AGE76739.1	HD73_1161
AGE76740.1	HD73_1162
AGE76741.1	HD73_1163
AGE76742.1	HD73_1164
AGE76743.1	HD73_1165
AGE76744.1	HD73_1166
AGE76745.1	HD73_1167
AGE76746.1	HD73_1168
AGE76747.1	HD73_1169
AGE76748.1	HD73_1170
AGE76749.1	HD73_1171
AGE76750.1	HD73_1172
AGE76751.1	HD73_1173
AGE76752.1	HD73_1174
AGE76753.1	HD73_1175
AGE76754.1	HD73_1176
AGE76755.1	HD73_1177
AGE76756.1	HD73_1178
AGE76757.1	HD73_1179
AGE76758.1	HD73_1180
AGE76759.1	HD73_1181
AGE76760.1	HD73_1182
AGE76761.1	HD73_1183
AGE76762.1	HD73_1184
AGE76763.1	HD73_1185
AGE76764.1	HD73_1186
AGE76765.1	HD73_1187
AGE76766.1	HD73_1188
AGE76767.1	HD73_1189
AGE76768.1	HD73_1190
AGE76769.1	HD73_1191
AGE76770.1	HD73_1192
AGE76771.1	HD73_1193
AGE76772.1	HD73_1194
AGE76773.1	HD73_1195
AGE76774.1	HD73_1196
AGE76775.1	HD73_1197
AGE76776.1	HD73_1198
AGE76777.1	HD73_1199
AGE76778.1	HD73_1200
AGE76779.1	HD73_1201
AGE76780.1	HD73_1202
AGE76781.1	HD73_1203
AGE76782.1	HD73_1204
AGE76783.1	HD73_1205
AGE76784.1	HD73_1206
AGE76785.1	HD73_1207
AGE76786.1	HD73_1208
AGE76787.1	HD73_1209
AGE76788.1	HD73_1210
AGE76789.1	HD73_1211
AGE76790.1	HD73_1212
AGE76791.1	HD73_1213
AGE76792.1	HD73_1214
AGE76793.1	HD73_1215
AGE76794.1	HD73_1216
AGE76795.1	HD73_1217
AGE76796.1	HD73_1218
AGE76797.1	HD73_1219
AGE76798.1	HD73_1220
AGE76799.1	HD73_1221
AGE76800.1	HD73_1222
AGE76801.1	HD73_1223
AGE76802.1	HD73_1224
AGE76803.1	HD73_1225
AGE76804.1	HD73_1226
AGE76805.1	HD73_1227
AGE76806.1	HD73_1228
AGE76807.1	HD73_1229
AGE76808.1	HD73_1230
AGE76809.1	HD73_1231
AGE76810.1	HD73_1232
AGE76811.1	HD73_1233
AGE76812.1	HD73_1234
AGE76813.1	HD73_1235
AGE76814.1	HD73_1236
AGE76815.1	HD73_1237
AGE76816.1	HD73_1238
AGE76817.1	HD73_1239
AGE76818.1	HD73_1240
AGE76819.1	HD73_1241
AGE76820.1	HD73_1242
AGE76821.1	HD73_1243
AGE76822.1	HD73_1244
AGE76823.1	HD73_1245
AGE76824.1	HD73_1246
AGE76825.1	HD73_1247
AGE76826.1	HD73_1248
AGE76827.1	HD73_1249
AGE76828.1	HD73_1250
AGE76829.1	HD73_1251
AGE76830.1	HD73_1252
AGE76831.1	HD73_1253
AGE76832.1	HD73_1254
AGE76833.1	HD73_1255
AGE76834.1	HD73_1256
AGE76835.1	HD73_1257
AGE76836.1	HD73_1258
AGE76837.1	HD73_1259
AGE76838.1	HD73_1260
AGE76839.1	HD73_1261
AGE76840.1	HD73_1262
AGE76841.1	HD73_1263
AGE76842.1	HD73_1264
AGE76843.1	HD73_1265
AGE76844.1	HD73_1266
AGE76845.1	HD73_1267
AGE76846.1	HD73_1268
AGE76847.1	HD73_1269
AGE76848.1	HD73_1270
AGE76849.1	HD73_1271
AGE76850.1	HD73_1272
AGE76851.1	HD73_1273
AGE76852.1	HD73_1274
AGE76853.1	HD73_1275
AGE76854.1	HD73_1276
AGE76855.1	HD73_1277
AGE76856.1	HD73_1278
AGE76857.1	HD73_1279
AGE76858.1	HD73_1280
AGE76859.1	HD73_1281
AGE76860.1	HD73_1282
AGE76861.1	HD73_1283
AGE76862.1	HD73_1284
AGE76863.1	HD73_1285
AGE76864.1	HD73_1286
AGE76865.1	HD73_1287
AGE76866.1	HD73_1288
AGE76867.1	HD73_1289
AGE76868.1	HD73_1290
AGE76869.1	HD73_1291
AGE76870.1	HD73_1292
AGE76871.1	HD73_1293
AGE76872.1	HD73_1294
AGE76873.1	HD73_1295
AGE76874.1	HD73_1296
AGE76875.1	HD73_1297
AGE76876.1	HD73_1298
AGE76877.1	HD73_1299
AGE76878.1	HD73_1300
AGE76879.1	HD73_1301
AGE76880.1	HD73_1302
AGE76881.1	HD73_1303
AGE76882.1	HD73_1304
AGE76883.1	HD73_1305
AGE76884.1	HD73_1306
AGE76885.1	HD73_1307
AGE76886.1	HD73_1308
AGE76887.1	HD73_1309
AGE76888.1	HD73_1310
AGE76889.1	HD73_1311
AGE76890.1	HD73_1312
AGE76891.1	HD73_1313
AGE76892.1	HD73_1314
AGE76893.1	HD73_1315
AGE76894.1	HD73_1316
AGE76895.1	HD73_1317
AGE76896.1	HD73_1318
AGE76897.1	HD73_1319
AGE76898.1	HD73_1320
AGE76899.1	HD73_1321
AGE76900.1	HD73_1322
AGE76901.1	HD73_1323
AGE76902.1	HD73_1324
AGE76903.1	HD73_1325
AGE76904.1	HD73_1326
AGE76905.1	HD73_1327
AGE76906.1	HD73_1328
AGE76907.1	HD73_1329
AGE76908.1	HD73_1330
AGE76909.1	HD73_1331
AGE76910.1	HD73_1332
AGE76911.1	HD73_1333
AGE76912.1	HD73_1334
AGE76913.1	HD73_1335
AGE76914.1	HD73_1336
AGE76915.1	HD73_1337
AGE76916.1	HD73_1338
AGE76917.1	HD73_1339
AGE76918.1	HD73_1340
AGE76919.1	HD73_1341
AGE76920.1	HD73_1342
AGE76921.1	HD73_1343
AGE76922.1	HD73_1344
AGE76923.1	HD73_1345
AGE76924.1	HD73_1346
AGE76925.1	HD73_1347
AGE76926.1	HD73_1348
AGE76927.1	HD73_1349
AGE76928.1	HD73_1350
AGE76929.1	HD73_1351
AGE76930.1	HD73_1352
AGE76931.1	HD73_1353
AGE76932.1	HD73_1354
AGE76933.1	HD73_1355
AGE76934.1	HD73_1356
AGE76935.1	HD73_1357
AGE76936.1	HD73_1358
AGE76937.1	HD73_1359
AGE76938.1	HD73_1360
AGE76939.1	HD73_1361
AGE76940.1	HD73_1362
AGE76941.1	HD73_1363
AGE76942.1	HD73_1364
AGE76943.1	HD73_1365
AGE76944.1	HD73_1366
AGE76945.1	HD73_1367
AGE76946.1	HD73_1368
AGE76947.1	HD73_1369
AGE76948.1	HD73_1370
AGE76949.1	HD73_1371
AGE76950.1	HD73_1372
AGE76951.1	HD73_1373
AGE76952.1	HD73_1374
AGE76953.1	HD73_1375
AGE76954.1	HD73_1376
AGE76955.1	HD73_1377
AGE76956.1	HD73_1378
AGE76957.1	HD73_1379
AGE76958.1	HD73_1380
AGE76959.1	HD73_1381
AGE76960.1	HD73_1382
AGE76961.1	HD73_1383
AGE76962.1	HD73_1384
AGE76963.1	HD73_1385
AGE76964.1	HD73_1386
AGE76965.1	HD73_1387
AGE76966.1	HD73_1388
AGE76967.1	HD73_1389
AGE76968.1	HD73_1390
AGE76969.1	HD73_1391
AGE76970.1	HD73_1392
AGE76971.1	HD73_1393
AGE76972.1	HD73_1394
AGE76973.1	HD73_1395
AGE76974.1	HD73_1396
AGE76975.1	HD73_1397
AGE76976.1	HD73_1398
AGE76977.1	HD73_1399
AGE76978.1	HD73_1400
AGE76979.1	HD73_1401
AGE76980.1	HD73_1402
AGE76981.1	HD73_1403
AGE76982.1	HD73_1404
AGE76983.1	HD73_1405
AGE76984.1	HD73_1406
AGE76985.1	HD73_1407
AGE76986.1	HD73_1408
AGE76987.1	HD73_1409
AGE76988.1	HD73_1410
AGE76989.1	HD73_1411
AGE76990.1	HD73_1412
AGE76991.1	HD73_1413
AGE76992.1	HD73_1414
AGE76993.1	HD73_1415
AGE76994.1	HD73_1416
AGE76995.1	HD73_1417
AGE76996.1	HD73_1418
AGE76997.1	HD73_1419
AGE76998.1	HD73_1420
AGE76999.1	HD73_1421
AGE77000.1	HD73_1422
AGE77001.1	HD73_1423
AGE77002.1	HD73_1424
AGE77003.1	HD73_1425
AGE77004.1	HD73_1426
AGE77005.1	HD73_1427
AGE77006.1	HD73_1428
AGE77007.1	HD73_1429
AGE77008.1	HD73_1430
AGE77009.1	HD73_1431
AGE77010.1	HD73_1432
AGE77011.1	HD73_1433
AGE77012.1	HD73_1434
AGE77013.1	HD73_1435
AGE77014.1	HD73_1436
AGE77015.1	HD73_1437
AGE77016.1	HD73_1438
AGE77017.1	HD73_1439
AGE77018.1	HD73_1440
AGE77019.1	HD73_1441
AGE77020.1	HD73_1442
AGE77021.1	HD73_1443
AGE77022.1	HD73_1444
AGE77023.1	HD73_1445
AGE77024.1	HD73_1446
AGE77025.1	HD73_1447
AGE77026.1	HD73_1448
AGE77027.1	HD73_1449
AGE77028.1	HD73_1450
AGE77029.1	HD73_1451
AGE77030.1	HD73_1452
AGE77031.1	HD73_1453
AGE77032.1	HD73_1454
AGE77033.1	HD73_1455
AGE77034.1	HD73_1456
AGE77035.1	HD73_1457
AGE77036.1	HD73_1458
AGE77037.1	HD73_1459
AGE77038.1	HD73_1460
AGE77039.1	HD73_1461
AGE77040.1	HD73_1462
AGE77041.1	HD73_1463
AGE77042.1	HD73_1464
AGE77043.1	HD73_1465
AGE77044.1	HD73_1466
AGE77045.1	HD73_1467
AGE77046.1	HD73_1468
AGE77047.1	HD73_1469
AGE77048.1	HD73_1470
AGE77049.1	HD73_1471
AGE77050.1	HD73_1472
AGE77051.1	HD73_1473
AGE77052.1	HD73_1474
AGE77053.1	HD73_1475
AGE77054.1	HD73_1476
AGE77055.1	HD73_1477
AGE77056.1	HD73_1478
AGE77057.1	HD73_1479
AGE77058.1	HD73_1480
AGE77059.1	HD73_1481
AGE77060.1	HD73_1482
AGE77061.1	HD73_1483
AGE77062.1	HD73_1484
AGE77063.1	HD73_1485
AGE77064.1	HD73_1486
AGE77065.1	HD73_1487
AGE77066.1	HD73_1488
AGE77067.1	HD73_1489
AGE77068.1	HD73_1490
AGE77069.1	HD73_1491
AGE77070.1	HD73_1492
AGE77071.1	HD73_1493
AGE77072.1	HD73_1494
AGE77073.1	HD73_1495
AGE77074.1	HD73_1496
AGE77075.1	HD73_1497
AGE77076.1	HD73_1498
AGE77077.1	HD73_1499
AGE77078.1	HD73_1500
AGE77079.1	HD73_1501
AGE77080.1	HD73_1502
AGE77081.1	HD73_1503
AGE77082.1	HD73_1504
AGE77083.1	HD73_1505
AGE77084.1	HD73_1506
AGE77085.1	HD73_1507
AGE77086.1	HD73_1508
AGE77087.1	HD73_1509
AGE77088.1	HD73_1510
AGE77089.1	HD73_1511
AGE77090.1	HD73_1512
AGE77091.1	HD73_1513
AGE77092.1	HD73_1514
AGE77093.1	HD73_1515
AGE77094.1	HD73_1516
AGE77095.1	HD73_1517
AGE77096.1	HD73_1518
AGE77097.1	HD73_1519
AGE77098.1	HD73_1520
AGE77099.1	HD73_1521
AGE77100.1	HD73_1522
AGE77101.1	HD73_1523
AGE77102.1	HD73_1524
AGE77103.1	HD73_1525
AGE77104.1	HD73_1526
AGE77105.1	HD73_1527
AGE77106.1	HD73_1528
AGE77107.1	HD73_1529
AGE77108.1	HD73_1530
AGE77109.1	HD73_1531
AGE77110.1	HD73_1532
AGE77111.1	HD73_1533
AGE77112.1	HD73_1534
AGE77113.1	HD73_1535
AGE77114.1	HD73_1536
AGE77115.1	HD73_1537
AGE77116.1	HD73_1538
AGE77117.1	HD73_1539
AGE77118.1	HD73_1540
AGE77119.1	HD73_1541
AGE77120.1	HD73_1542
AGE77121.1	HD73_1543
AGE77122.1	HD73_1544
AGE77123.1	HD73_1545
AGE77124.1	HD73_1546
AGE77125.1	HD73_1547
AGE77126.1	HD73_1548
AGE77127.1	HD73_1549
AGE77128.1	HD73_1550
AGE77129.1	HD73_1551
AGE77130.1	HD73_1552
AGE77131.1	HD73_1553
AGE77132.1	HD73_1554
AGE77133.1	HD73_1555
AGE77134.1	HD73_1556
AGE77135.1	HD73_1557
AGE77136.1	HD73_1558
AGE77137.1	HD73_1559
AGE77138.1	HD73_1560
AGE77139.1	HD73_1561
AGE77140.1	HD73_1562
AGE77141.1	HD73_1563
AGE77142.1	HD73_1564
AGE77143.1	HD73_1565
AGE77144.1	HD73_1566
AGE77145.1	HD73_1567
AGE77146.1	HD73_1568
AGE77147.1	HD73_1569
AGE77148.1	HD73_1570
AGE77149.1	HD73_1571
AGE77150.1	HD73_1572
AGE77151.1	HD73_1573
AGE77152.1	HD73_1574
AGE77153.1	HD73_1575
AGE77154.1	HD73_1576
AGE77155.1	HD73_1577
AGE77156.1	HD73_1578
AGE77157.1	HD73_1579
AGE77158.1	HD73_1580
AGE77159.1	HD73_1581
AGE77160.1	HD73_1582
AGE77161.1	HD73_1583
AGE77162.1	HD73_1584
AGE77163.1	HD73_1585
AGE77164.1	HD73_1586
AGE77165.1	HD73_1587
AGE77166.1	HD73_1588
AGE77167.1	HD73_1589
AGE77168.1	HD73_1590
AGE77169.1	HD73_1591
AGE77170.1	HD73_1592
AGE77171.1	HD73_1593
AGE77172.1	HD73_1594
AGE77173.1	HD73_1595
AGE77174.1	HD73_1596
AGE77175.1	HD73_1597
AGE77176.1	HD73_1598
AGE77177.1	HD73_1599
AGE77178.1	HD73_1600
AGE77179.1	HD73_1601
AGE77180.1	HD73_1602
AGE77181.1	HD73_1603
AGE77182.1	HD73_1604
AGE77183.1	HD73_1605
AGE77184.1	HD73_1606
AGE77185.1	HD73_1607
AGE77186.1	HD73_1608
AGE77187.1	HD73_1609
AGE77188.1	HD73_1610
AGE77189.1	HD73_1611
AGE77190.1	HD73_1612
AGE77191.1	HD73_1613
AGE77192.1	HD73_1614
AGE77193.1	HD73_1615
AGE77194.1	HD73_1616
AGE77195.1	HD73_1617
AGE77196.1	HD73_1618
AGE77197.1	HD73_1619
AGE77198.1	HD73_1620
AGE77199.1	HD73_1621
AGE77200.1	HD73_1622
AGE77201.1	HD73_1623
AGE77202.1	HD73_1624
AGE77203.1	HD73_1625
AGE77204.1	HD73_1626
AGE77205.1	HD73_1627
AGE77206.1	HD73_1628
AGE77207.1	HD73_1629
AGE77208.1	HD73_1630
AGE77209.1	HD73_1631
AGE77210.1	HD73_1632
AGE77211.1	HD73_1633
AGE77212.1	HD73_1634
AGE77213.1	HD73_1635
AGE77214.1	HD73_1636
AGE77215.1	HD73_1637
AGE77216.1	HD73_1638
AGE77217.1	HD73_1639
AGE77218.1	HD73_1640
AGE77219.1	HD73_1641
AGE77220.1	HD73_1642
AGE77221.1	HD73_1643
AGE77222.1	HD73_1644
AGE77223.1	HD73_1645
AGE77224.1	HD73_1646
AGE77225.1	HD73_1647
AGE77226.1	HD73_1648
AGE77227.1	HD73_1649
AGE77228.1	HD73_1650
AGE77229.1	HD73_1651
AGE77230.1	HD73_1652
AGE77231.1	HD73_1653
AGE77232.1	HD73_1654
AGE77233.1	HD73_1655
AGE77234.1	HD73_1656
AGE77235.1	HD73_1657
AGE77236.1	HD73_1658
AGE77237.1	HD73_1659
AGE77238.1	HD73_1660
AGE77239.1	HD73_1661
AGE77240.1	HD73_1662
AGE77241.1	HD73_1663
AGE77242.1	HD73_1664
AGE77243.1	HD73_1665
AGE77244.1	HD73_1666
AGE77245.1	HD73_1667
AGE77246.1	HD73_1668
AGE77247.1	HD73_1669
AGE77248.1	HD73_1670
AGE77249.1	HD73_1671
AGE77250.1	HD73_1672
AGE77251.1	HD73_1673
AGE77252.1	HD73_1674
AGE77253.1	HD73_1675
AGE77254.1	HD73_1676
AGE77255.1	HD73_1677
AGE77256.1	HD73_1678
AGE77257.1	HD73_1679
AGE77258.1	HD73_1680
AGE77259.1	HD73_1681
AGE77260.1	HD73_1682
AGE77261.1	HD73_1683
AGE77262.1	HD73_1684
AGE77263.1	HD73_1685
AGE77264.1	HD73_1686
AGE77265.1	HD73_1687
AGE77266.1	HD73_1688
AGE77267.1	HD73_1689
AGE77268.1	HD73_1690
AGE77269.1	HD73_1691
AGE77270.1	HD73_1692
AGE77271.1	HD73_1693
AGE77272.1	HD73_1694
AGE77273.1	HD73_1695
AGE77274.1	HD73_1696
AGE77275.1	HD73_1697
AGE77276.1	HD73_1698
AGE77277.1	HD73_1699
AGE77278.1	HD73_1700
AGE77279.1	HD73_1701
AGE77280.1	HD73_1702
AGE77281.1	HD73_1703
AGE77282.1	HD73_1704
AGE77283.1	HD73_1705
AGE77284.1	HD73_1706
AGE77285.1	HD73_1707
AGE77286.1	HD73_1708
AGE77287.1	HD73_1709
AGE77288.1	HD73_1710
AGE77289.1	HD73_1711
AGE77290.1	HD73_1712
AGE77291.1	HD73_1713
AGE77292.1	HD73_1714
AGE77293.1	HD73_1715
AGE77294.1	HD73_1716
AGE77295.1	HD73_1717
AGE77296.1	HD73_1718
AGE77297.1	HD73_1719
AGE77298.1	HD73_1720
AGE77299.1	HD73_1721
AGE77300.1	HD73_1722
AGE77301.1	HD73_1723
AGE77302.1	HD73_1724
AGE77303.1	HD73_1725
AGE77304.1	HD73_1726
AGE77305.1	HD73_1727
AGE77306.1	HD73_1728
AGE77307.1	HD73_1729
AGE77308.1	HD73_1730
AGE77309.1	HD73_1731
AGE77310.1	HD73_1732
AGE77311.1	HD73_1733
AGE77312.1	HD73_1734
AGE77313.1	HD73_1735
AGE77314.1	HD73_1736
AGE77315.1	HD73_1737
AGE77316.1	HD73_1738
AGE77317.1	HD73_1739
AGE77318.1	HD73_1740
AGE77319.1	HD73_1741
AGE77320.1	HD73_1742
AGE77321.1	HD73_1743
AGE77322.1	HD73_1744
AGE77323.1	HD73_1745
AGE77324.1	HD73_1746
AGE77325.1	HD73_1747
AGE77326.1	HD73_1748
AGE77327.1	HD73_1749
AGE77328.1	HD73_1750
AGE77329.1	HD73_1751
AGE77330.1	HD73_1752
AGE77331.1	HD73_1753
AGE77332.1	HD73_1754
AGE77333.1	HD73_1755
AGE77334.1	HD73_1756
AGE77335.1	HD73_1757
AGE77336.1	HD73_1758
AGE77337.1	HD73_1759
AGE77338.1	HD73_1760
AGE77339.1	HD73_1761
AGE77340.1	HD73_1762
AGE77341.1	HD73_1763
AGE77342.1	HD73_1764
AGE77343.1	HD73_1765
AGE77344.1	HD73_1766
AGE77345.1	HD73_1767
AGE77346.1	HD73_1768
AGE77347.1	HD73_1769
AGE77348.1	HD73_1770
AGE77349.1	HD73_1771
AGE77350.1	HD73_1772
AGE77351.1	HD73_1773
AGE77352.1	HD73_1774
AGE77353.1	HD73_1775
AGE77354.1	HD73_1776
AGE77355.1	HD73_1777
AGE77356.1	HD73_1778
AGE77357.1	HD73_1779
AGE77358.1	HD73_1780
AGE77359.1	HD73_1781
AGE77360.1	HD73_1782
AGE77361.1	HD73_1783
AGE77362.1	HD73_1784
AGE77363.1	HD73_1785
AGE77364.1	HD73_1786
AGE77365.1	HD73_1787
AGE77366.1	HD73_1788
AGE77367.1	HD73_1789
AGE77368.1	HD73_1790
AGE77369.1	HD73_1791
AGE77370.1	HD73_1792
AGE77371.1	HD73_1793
AGE77372.1	HD73_1794
AGE77373.1	HD73_1795
AGE77374.1	HD73_1796
AGE77375.1	HD73_1797
AGE77376.1	HD73_1798
AGE77377.1	HD73_1799
AGE77378.1	HD73_1800
AGE77379.1	HD73_1801
AGE77380.1	HD73_1802
AGE77381.1	HD73_1803
AGE77382.1	HD73_1804
AGE77383.1	HD73_1805
AGE77384.1	HD73_1806
AGE77385.1	HD73_1807
AGE77386.1	HD73_1808
AGE77387.1	HD73_1809
AGE77388.1	HD73_1810
AGE77389.1	HD73_1811
AGE77390.1	HD73_1812
AGE77391.1	HD73_1813
AGE77392.1	HD73_1814
AGE77393.1	HD73_1815
AGE77394.1	HD73_1816
AGE77395.1	HD73_1817
AGE77396.1	HD73_1818
AGE77397.1	HD73_1819
AGE77398.1	HD73_1820
AGE77399.1	HD73_1821
AGE77400.1	HD73_1822
AGE77401.1	HD73_1823
AGE77402.1	HD73_1824
AGE77403.1	HD73_1825
AGE77404.1	HD73_1826
AGE77405.1	HD73_1827
AGE77406.1	HD73_1828
AGE77407.1	HD73_1829
AGE77408.1	HD73_1830
AGE77409.1	HD73_1831
AGE77410.1	HD73_1832
AGE77411.1	HD73_1833
AGE77412.1	HD73_1834
AGE77413.1	HD73_1835
AGE77414.1	HD73_1836
AGE77415.1	HD73_1837
AGE77416.1	HD73_1838
AGE77417.1	HD73_1839
AGE77418.1	HD73_1840
AGE77419.1	HD73_1841
AGE77420.1	HD73_1842
AGE77421.1	HD73_1843
AGE77422.1	HD73_1844
AGE77423.1	HD73_1845
AGE77424.1	HD73_1846
AGE77425.1	HD73_1847
AGE77426.1	HD73_1848
AGE77427.1	HD73_1849
AGE77428.1	HD73_1850
AGE77429.1	HD73_1851
AGE77430.1	HD73_1852
AGE77431.1	HD73_1853
AGE77432.1	HD73_1854
AGE77433.1	HD73_1855
AGE77434.1	HD73_1856
AGE77435.1	HD73_1857
AGE77436.1	HD73_1858
AGE77437.1	HD73_1859
AGE77438.1	HD73_1860
AGE77439.1	HD73_1861
AGE77440.1	HD73_1862
AGE77441.1	HD73_1863
AGE77442.1	HD73_1864
AGE77443.1	HD73_1865
AGE77444.1	HD73_1866
AGE77445.1	HD73_1867
AGE77446.1	HD73_1868
AGE77447.1	HD73_1869
AGE77448.1	HD73_1870
AGE77449.1	HD73_1871
AGE77450.1	HD73_1872
AGE77451.1	HD73_1873
AGE77452.1	HD73_1874
AGE77453.1	HD73_1875
AGE77454.1	HD73_1876
