#catalog	members
K00370	TRINITY_g100334_i1_1,TRINITY_g102554_i1_1,TRINITY_g104490_i1_1,TRINITY_g108334_i1_1,TRINITY_g114393_i1_1,TRINITY_g117359_i1_2,TRINITY_g120149_i1_1,TRINITY_g126146_i1_1,TRINITY_g137016_i1_1,TRINITY_g137016_i2_1,TRINITY_g137700_i1_1,TRINITY_g140435_i1_1,TRINITY_g141015_i1_1,TRINITY_g152930_i1_1,TRINITY_g156009_i1_1,TRINITY_g167165_i1_1,TRINITY_g167165_i2_1,TRINITY_g167530_i1_1,TRINITY_g169612_i1_1,TRINITY_g18140_i1_1,TRINITY_g189739_i1_2,TRINITY_g191490_i1_1,TRINITY_g196665_i1_1,TRINITY_g200854_i1_1,TRINITY_g201453_i1_1,TRINITY_g206054_i1_1,TRINITY_g209952_i1_1,TRINITY_g211316_i1_1,TRINITY_g211966_i1_1,TRINITY_g215328_i1_1,TRINITY_g245491_i1_1,TRINITY_g25470_i1_1,TRINITY_g257029_i1_1,TRINITY_g25928_i1_1,TRINITY_g264442_i1_2,TRINITY_g27504_i1_1,TRINITY_g279142_i1_1,TRINITY_g284429_i1_1,TRINITY_g286955_i1_1,TRINITY_g296678_i1_1,TRINITY_g296894_i1_1,TRINITY_g300871_i1_1,TRINITY_g327196_i1_1,TRINITY_g331382_i1_1,TRINITY_g340549_i1_1,TRINITY_g366024_i1_1,TRINITY_g367467_i1_1,TRINITY_g368622_i1_1,TRINITY_g371_i1_1,TRINITY_g372189_i1_2,TRINITY_g376434_i1_1,TRINITY_g378656_i1_1,TRINITY_g382301_i1_1,TRINITY_g4010_i1_1,TRINITY_g409493_i1_1,TRINITY_g409493_i2_1,TRINITY_g409903_i1_1,TRINITY_g409903_i2_1,TRINITY_g411944_i1_1,TRINITY_g411945_i1_1,TRINITY_g411946_i1_1,TRINITY_g412285_i1_1,TRINITY_g412286_i1_1,TRINITY_g412287_i1_1,TRINITY_g42088_i1_1,TRINITY_g429996_i1_1,TRINITY_g43106_i1_1,TRINITY_g439221_i1_1,TRINITY_g439222_i1_1,TRINITY_g43945_i1_1,TRINITY_g451763_i1_1,TRINITY_g451764_i1_1,TRINITY_g467805_i1_2,TRINITY_g467805_i2_1,TRINITY_g485863_i1_8,TRINITY_g486472_i1_1,TRINITY_g486515_i1_2,TRINITY_g486609_i1_1,TRINITY_g494671_i1_1,TRINITY_g498088_i1_1,TRINITY_g499663_i2_13,TRINITY_g499663_i5_13,TRINITY_g499663_i7_12,TRINITY_g507594_i1_1,TRINITY_g507595_i1_1,TRINITY_g507595_i2_1,TRINITY_g510854_i1_1,TRINITY_g510854_i2_1,TRINITY_g516997_i3_1,TRINITY_g516997_i4_1,TRINITY_g516997_i6_1,TRINITY_g516998_i1_1,TRINITY_g517000_i1_1,TRINITY_g517001_i1_2,TRINITY_g517002_i1_2,TRINITY_g517003_i1_2,TRINITY_g528076_i1_2,TRINITY_g528077_i1_2,TRINITY_g528078_i2_6,TRINITY_g528078_i5_6,TRINITY_g528080_i1_1,TRINITY_g528895_i1_1,TRINITY_g528896_i1_1,TRINITY_g53620_i1_1,TRINITY_g550217_i1_5,TRINITY_g550217_i2_2,TRINITY_g56553_i1_1,TRINITY_g62120_i1_1,TRINITY_g71449_i1_1,TRINITY_g741_i1_1,TRINITY_g74427_i1_2,TRINITY_g7483_i1_1,TRINITY_g90234_i1_1,TRINITY_g99659_i1_1
K00371	TRINITY_g112696_i1_1,TRINITY_g11523_i1_1,TRINITY_g120149_i1_2,TRINITY_g1252_i1_1,TRINITY_g138178_i1_1,TRINITY_g140001_i1_1,TRINITY_g158216_i1_1,TRINITY_g177044_i1_1,TRINITY_g17810_i1_1,TRINITY_g188520_i1_1,TRINITY_g188521_i1_1,TRINITY_g212875_i1_1,TRINITY_g230256_i1_1,TRINITY_g238631_i1_1,TRINITY_g264442_i1_1,TRINITY_g300010_i1_1,TRINITY_g300897_i1_1,TRINITY_g310243_i1_1,TRINITY_g334640_i1_1,TRINITY_g349198_i1_1,TRINITY_g359258_i1_1,TRINITY_g390350_i1_1,TRINITY_g390350_i2_1,TRINITY_g390351_i1_1,TRINITY_g390351_i2_1,TRINITY_g401777_i1_1,TRINITY_g412284_i1_1,TRINITY_g412285_i1_2,TRINITY_g425092_i1_1,TRINITY_g425093_i1_1,TRINITY_g432714_i1_1,TRINITY_g432714_i2_1,TRINITY_g472493_i1_1,TRINITY_g472494_i1_1,TRINITY_g48276_i1_1,TRINITY_g484964_i1_3,TRINITY_g485860_i1_1,TRINITY_g485861_i1_1,TRINITY_g485863_i1_7,TRINITY_g486515_i1_1,TRINITY_g486515_i2_1,TRINITY_g499663_i2_12,TRINITY_g499663_i5_12,TRINITY_g499663_i7_11,TRINITY_g501159_i1_1,TRINITY_g501160_i1_1,TRINITY_g510854_i1_2,TRINITY_g510926_i1_1,TRINITY_g510926_i2_1,TRINITY_g516999_i1_1,TRINITY_g516999_i2_1,TRINITY_g517002_i1_1,TRINITY_g517005_i1_2,TRINITY_g528076_i1_1,TRINITY_g528077_i1_1,TRINITY_g528078_i2_5,TRINITY_g528078_i5_5,TRINITY_g528079_i1_1,TRINITY_g532790_i1_2,TRINITY_g53524_i1_1,TRINITY_g550217_i1_4,TRINITY_g550217_i2_1,TRINITY_g74427_i1_1,TRINITY_g74567_i1_1,TRINITY_g7703_i1_1,TRINITY_g83521_i1_1
K03385	TRINITY_g115411_i1_1,TRINITY_g200914_i1_1,TRINITY_g22984_i1_1,TRINITY_g294874_i1_1,TRINITY_g70994_i1_1
K00372	TRINITY_g185422_i1_1,TRINITY_g198828_i1_1,TRINITY_g287634_i1_2,TRINITY_g295399_i1_1,TRINITY_g463477_i1_2,TRINITY_g524030_i1_1,TRINITY_g62251_i1_1
K00374	TRINITY_g136268_i1_1,TRINITY_g140097_i1_1,TRINITY_g171852_i1_1,TRINITY_g171852_i2_2,TRINITY_g171853_i1_1,TRINITY_g173992_i1_1,TRINITY_g209815_i1_2,TRINITY_g210793_i1_1,TRINITY_g238137_i1_1,TRINITY_g25379_i1_2,TRINITY_g302744_i1_1,TRINITY_g309990_i1_1,TRINITY_g318531_i1_2,TRINITY_g375041_i1_2,TRINITY_g390350_i1_3,TRINITY_g390350_i2_3,TRINITY_g450390_i1_1,TRINITY_g475280_i1_3,TRINITY_g481894_i1_1,TRINITY_g481895_i2_1,TRINITY_g484964_i1_1,TRINITY_g485863_i1_5,TRINITY_g499663_i2_10,TRINITY_g499663_i5_10,TRINITY_g499663_i7_9,TRINITY_g509700_i1_1,TRINITY_g528078_i2_3,TRINITY_g528078_i5_3,TRINITY_g550217_i1_2
K05601	TRINITY_g109869_i1_1,TRINITY_g112791_i1_1,TRINITY_g115018_i1_1,TRINITY_g118138_i1_1,TRINITY_g128979_i1_1,TRINITY_g146637_i1_1,TRINITY_g156778_i1_3,TRINITY_g191905_i1_1,TRINITY_g194284_i1_1,TRINITY_g198585_i1_1,TRINITY_g206913_i1_1,TRINITY_g210409_i1_1,TRINITY_g212625_i1_1,TRINITY_g219123_i1_1,TRINITY_g222389_i1_1,TRINITY_g231420_i1_1,TRINITY_g232724_i1_1,TRINITY_g243546_i1_1,TRINITY_g250479_i1_1,TRINITY_g27403_i1_1,TRINITY_g277445_i1_1,TRINITY_g281196_i1_1,TRINITY_g292567_i1_1,TRINITY_g299157_i1_1,TRINITY_g329461_i1_1,TRINITY_g329656_i1_1,TRINITY_g33120_i1_1,TRINITY_g339901_i1_1,TRINITY_g342681_i1_1,TRINITY_g347573_i1_1,TRINITY_g363809_i1_1,TRINITY_g377659_i1_1,TRINITY_g395105_i1_2,TRINITY_g395106_i1_1,TRINITY_g40307_i1_1,TRINITY_g433366_i1_1,TRINITY_g441213_i2_1,TRINITY_g445005_i1_1,TRINITY_g445005_i2_1,TRINITY_g44811_i1_1,TRINITY_g448995_i1_1,TRINITY_g465323_i1_1,TRINITY_g465323_i2_1,TRINITY_g465324_i1_2,TRINITY_g496791_i2_6,TRINITY_g496791_i5_1,TRINITY_g496791_i6_1,TRINITY_g496791_i7_4,TRINITY_g507721_i1_1,TRINITY_g513749_i1_1,TRINITY_g522545_i1_1,TRINITY_g522546_i1_1,TRINITY_g522547_i1_1,TRINITY_g522548_i1_1,TRINITY_g522549_i1_1,TRINITY_g522549_i2_1,TRINITY_g522549_i3_1,TRINITY_g522550_i1_1,TRINITY_g528363_i1_3,TRINITY_g62569_i1_1,TRINITY_g63264_i1_1,TRINITY_g74382_i1_1,TRINITY_g7934_i1_1
K00376	TRINITY_g141792_i1_1,TRINITY_g143573_i1_1,TRINITY_g144188_i1_1,TRINITY_g144344_i1_1,TRINITY_g1596_i1_1,TRINITY_g170260_i1_1,TRINITY_g206081_i1_1,TRINITY_g212857_i1_1,TRINITY_g213978_i1_1,TRINITY_g231342_i1_1,TRINITY_g239342_i1_1,TRINITY_g254280_i1_1,TRINITY_g26648_i1_1,TRINITY_g283904_i1_1,TRINITY_g290076_i1_1,TRINITY_g314077_i1_1,TRINITY_g333501_i1_1,TRINITY_g366440_i1_1,TRINITY_g378948_i1_1,TRINITY_g381144_i1_1,TRINITY_g396682_i3_10,TRINITY_g396682_i5_10,TRINITY_g49919_i1_1,TRINITY_g500098_i1_1,TRINITY_g51694_i1_1,TRINITY_g552058_i1_2,TRINITY_g552058_i2_1,TRINITY_g67118_i1_1,TRINITY_g67325_i1_1,TRINITY_g71512_i1_1,TRINITY_g79432_i1_1,TRINITY_g8366_i1_1,TRINITY_g95390_i1_1,TRINITY_g98079_i1_1
K02575	TRINITY_g129781_i1_1,TRINITY_g159849_i1_1,TRINITY_g167447_i1_1,TRINITY_g173140_i1_1,TRINITY_g189101_i1_3,TRINITY_g323606_i1_1,TRINITY_g325807_i1_1,TRINITY_g335554_i1_1,TRINITY_g35776_i1_1,TRINITY_g366248_i1_1,TRINITY_g372713_i1_1,TRINITY_g395027_i1_1,TRINITY_g417045_i1_1,TRINITY_g432285_i1_3,TRINITY_g499663_i2_8,TRINITY_g499663_i4_8,TRINITY_g499663_i5_8,TRINITY_g499663_i7_8,TRINITY_g541961_i1_1,TRINITY_g544900_i1_1,TRINITY_g550217_i1_1,TRINITY_g77804_i1_1,TRINITY_g8966_i1_1,TRINITY_g93082_i1_1
K01501	TRINITY_g10413_i1_2,TRINITY_g114155_i1_1,TRINITY_g117306_i10_4,TRINITY_g117306_i2_3,TRINITY_g117306_i4_3,TRINITY_g119043_i1_1,TRINITY_g142246_i1_1,TRINITY_g145771_i1_2,TRINITY_g207665_i1_1,TRINITY_g22763_i1_1,TRINITY_g251865_i1_1,TRINITY_g281769_i1_1,TRINITY_g284812_i1_1,TRINITY_g295739_i1_1,TRINITY_g302547_i1_1,TRINITY_g33024_i1_1,TRINITY_g398677_i1_1,TRINITY_g400317_i1_3,TRINITY_g400318_i1_5,TRINITY_g438925_i1_4,TRINITY_g486206_i1_1,TRINITY_g486207_i1_1,TRINITY_g496872_i1_1,TRINITY_g516994_i1_1,TRINITY_g540778_i1_1,TRINITY_g544720_i1_1,TRINITY_g544720_i2_1
K01743	TRINITY_g299867_i1_1
K10534	TRINITY_g254437_i1_1,TRINITY_g276246_i1_1,TRINITY_g318819_i1_1,TRINITY_g329284_i1_1,TRINITY_g429507_i1_1,TRINITY_g466276_i1_1,TRINITY_g466277_i1_1,TRINITY_g480136_i1_1,TRINITY_g480136_i1_2,TRINITY_g480136_i2_1,TRINITY_g480136_i3_1,TRINITY_g480137_i1_1,TRINITY_g480138_i1_1,TRINITY_g480139_i1_1,TRINITY_g505116_i1_1,TRINITY_g505117_i1_1,TRINITY_g530714_i2_1,TRINITY_g98615_i1_1
K00459	TRINITY_g103260_i1_1,TRINITY_g113311_i1_2,TRINITY_g124691_i1_1,TRINITY_g141449_i1_2,TRINITY_g143542_i1_1,TRINITY_g146692_i1_1,TRINITY_g152023_i1_1,TRINITY_g161351_i1_1,TRINITY_g165992_i1_1,TRINITY_g178519_i1_2,TRINITY_g178696_i1_1,TRINITY_g179265_i1_1,TRINITY_g181237_i1_1,TRINITY_g195938_i1_2,TRINITY_g203399_i1_1,TRINITY_g215829_i1_1,TRINITY_g230199_i1_1,TRINITY_g24796_i1_1,TRINITY_g248848_i1_1,TRINITY_g255119_i1_2,TRINITY_g256162_i1_1,TRINITY_g264211_i1_1,TRINITY_g278412_i1_1,TRINITY_g294615_i1_3,TRINITY_g296694_i1_2,TRINITY_g31696_i1_1,TRINITY_g32237_i1_1,TRINITY_g330757_i1_1,TRINITY_g333651_i1_1,TRINITY_g37411_i1_1,TRINITY_g376642_i1_1,TRINITY_g381022_i1_1,TRINITY_g385180_i1_1,TRINITY_g394122_i1_4,TRINITY_g394122_i2_4,TRINITY_g394123_i1_1,TRINITY_g405846_i2_2,TRINITY_g405846_i4_2,TRINITY_g405846_i5_2,TRINITY_g410475_i1_8,TRINITY_g410475_i5_8,TRINITY_g413792_i1_2,TRINITY_g413792_i4_2,TRINITY_g420133_i1_2,TRINITY_g420133_i2_2,TRINITY_g428880_i2_2,TRINITY_g431865_i15_5,TRINITY_g431865_i3_5,TRINITY_g431865_i5_5,TRINITY_g431865_i6_5,TRINITY_g440832_i2_6,TRINITY_g440973_i1_3,TRINITY_g442381_i1_1,TRINITY_g447686_i1_1,TRINITY_g455159_i1_2,TRINITY_g455159_i2_1,TRINITY_g460654_i1_1,TRINITY_g466747_i1_2,TRINITY_g472808_i1_1,TRINITY_g472808_i3_1,TRINITY_g478866_i1_1,TRINITY_g482072_i1_1,TRINITY_g486924_i1_1,TRINITY_g486924_i2_1,TRINITY_g486924_i3_1,TRINITY_g492437_i5_1,TRINITY_g492512_i13_2,TRINITY_g492512_i2_1,TRINITY_g492512_i3_2,TRINITY_g492512_i5_2,TRINITY_g492512_i6_1,TRINITY_g493588_i1_1,TRINITY_g499171_i2_1,TRINITY_g505868_i1_1,TRINITY_g515179_i1_1,TRINITY_g51877_i1_1,TRINITY_g519788_i2_11,TRINITY_g519788_i3_11,TRINITY_g524446_i3_3,TRINITY_g529995_i7_2,TRINITY_g529995_i8_2,TRINITY_g532531_i4_3,TRINITY_g532531_i5_3,TRINITY_g532531_i6_2,TRINITY_g532531_i7_3,TRINITY_g539587_i1_1,TRINITY_g539587_i2_1,TRINITY_g539587_i3_1,TRINITY_g539587_i4_1,TRINITY_g542040_i2_1,TRINITY_g542040_i4_1,TRINITY_g542519_i1_1,TRINITY_g542522_i1_2,TRINITY_g549767_i1_2,TRINITY_g549767_i2_2,TRINITY_g549767_i3_2,TRINITY_g551554_i1_1,TRINITY_g59286_i1_1,TRINITY_g62704_i1_1,TRINITY_g7218_i1_1,TRINITY_g76494_i1_1,TRINITY_g8487_i1_1,TRINITY_g89918_i1_1,TRINITY_g94798_i1_1
K01725	TRINITY_g107394_i1_1,TRINITY_g151019_i1_1,TRINITY_g1672_i1_3,TRINITY_g199383_i1_1,TRINITY_g283689_i1_1,TRINITY_g329956_i1_1,TRINITY_g408299_i1_1,TRINITY_g482144_i1_5,TRINITY_g482145_i1_1,TRINITY_g482146_i2_2,TRINITY_g482146_i6_2,TRINITY_g482146_i8_2,TRINITY_g482147_i1_1,TRINITY_g484677_i1_5,TRINITY_g484677_i3_5,TRINITY_g484677_i4_5,TRINITY_g496281_i1_1,TRINITY_g517422_i1_1,TRINITY_g519536_i2_3,TRINITY_g519536_i3_3,TRINITY_g526276_i2_1,TRINITY_g526276_i4_1,TRINITY_g526276_i5_1,TRINITY_g526276_i7_1,TRINITY_g526276_i8_1,TRINITY_g526276_i9_1,TRINITY_g79861_i1_1,TRINITY_g80688_i1_1
K01428	TRINITY_g119739_i1_1,TRINITY_g130214_i1_1,TRINITY_g179496_i1_2,TRINITY_g183909_i1_1,TRINITY_g193701_i1_1,TRINITY_g213617_i1_1,TRINITY_g242329_i1_1,TRINITY_g252835_i1_1,TRINITY_g258116_i1_1,TRINITY_g261571_i1_1,TRINITY_g300894_i1_1,TRINITY_g324144_i1_1,TRINITY_g336694_i1_2,TRINITY_g400540_i1_1,TRINITY_g400540_i2_1,TRINITY_g400541_i1_1,TRINITY_g417690_i2_3,TRINITY_g428124_i1_1,TRINITY_g428124_i2_1,TRINITY_g428124_i4_5,TRINITY_g428124_i6_3,TRINITY_g446315_i1_1,TRINITY_g446317_i1_1,TRINITY_g446318_i3_3,TRINITY_g446319_i1_1,TRINITY_g453672_i1_1,TRINITY_g453672_i2_5,TRINITY_g474650_i1_2,TRINITY_g474904_i1_1,TRINITY_g488919_i3_1,TRINITY_g488919_i4_5,TRINITY_g488919_i5_5,TRINITY_g488919_i7_5,TRINITY_g488919_i9_5,TRINITY_g505682_i2_1,TRINITY_g505682_i3_1,TRINITY_g506814_i1_1,TRINITY_g519811_i2_2,TRINITY_g519811_i3_2,TRINITY_g549042_i1_1,TRINITY_g62741_i1_1
K01429	TRINITY_g130215_i1_2,TRINITY_g193701_i1_2,TRINITY_g193701_i2_1,TRINITY_g281949_i1_1,TRINITY_g344760_i1_1,TRINITY_g373128_i1_1,TRINITY_g417690_i2_2,TRINITY_g446318_i2_2,TRINITY_g446318_i3_2,TRINITY_g453672_i2_4,TRINITY_g474650_i1_3,TRINITY_g488917_i1_1,TRINITY_g488919_i3_2,TRINITY_g488919_i4_6,TRINITY_g488919_i5_6,TRINITY_g488919_i7_6,TRINITY_g488919_i9_6,TRINITY_g505682_i1_1,TRINITY_g505682_i2_2,TRINITY_g506814_i1_2,TRINITY_g506815_i1_2,TRINITY_g549041_i1_1,TRINITY_g549043_i1_1,TRINITY_g549043_i2_1
K01948	TRINITY_g108531_i1_1
K15371	TRINITY_g109392_i1_1,TRINITY_g109392_i2_1,TRINITY_g12197_i1_1,TRINITY_g139086_i1_1,TRINITY_g171473_i1_1,TRINITY_g173921_i1_1,TRINITY_g186594_i1_1,TRINITY_g19022_i1_1,TRINITY_g190905_i1_1,TRINITY_g191171_i1_1,TRINITY_g192128_i1_1,TRINITY_g195229_i1_1,TRINITY_g222800_i1_1,TRINITY_g223578_i1_1,TRINITY_g255929_i1_1,TRINITY_g256875_i1_1,TRINITY_g271504_i1_1,TRINITY_g304705_i1_1,TRINITY_g314454_i1_1,TRINITY_g317572_i1_1,TRINITY_g323708_i1_1,TRINITY_g34016_i1_1,TRINITY_g354495_i1_1,TRINITY_g365069_i1_1,TRINITY_g365444_i1_1,TRINITY_g386152_i1_1,TRINITY_g395304_i1_1,TRINITY_g395304_i2_1,TRINITY_g414791_i1_1,TRINITY_g414792_i1_1,TRINITY_g414793_i1_3,TRINITY_g415230_i1_1,TRINITY_g415231_i1_1,TRINITY_g415231_i2_1,TRINITY_g415231_i3_1,TRINITY_g416212_i1_1,TRINITY_g419664_i1_1,TRINITY_g419665_i1_1,TRINITY_g421634_i1_1,TRINITY_g424524_i2_2,TRINITY_g424525_i1_1,TRINITY_g458147_i1_1,TRINITY_g458148_i1_1,TRINITY_g458154_i1_1,TRINITY_g458155_i2_1,TRINITY_g463943_i1_1,TRINITY_g463943_i6_1,TRINITY_g463945_i1_1,TRINITY_g463945_i11_2,TRINITY_g463945_i5_1,TRINITY_g463945_i7_2,TRINITY_g463945_i9_2,TRINITY_g464158_i1_1,TRINITY_g465261_i1_1,TRINITY_g466510_i1_1,TRINITY_g471525_i12_6,TRINITY_g471525_i14_6,TRINITY_g471525_i1_6,TRINITY_g471525_i16_8,TRINITY_g471525_i17_6,TRINITY_g471525_i18_6,TRINITY_g471525_i23_8,TRINITY_g471525_i2_6,TRINITY_g471525_i4_6,TRINITY_g471525_i5_6,TRINITY_g471526_i1_5,TRINITY_g497311_i1_1,TRINITY_g516108_i1_1,TRINITY_g5274_i1_1,TRINITY_g531519_i1_1,TRINITY_g535364_i2_1,TRINITY_g535364_i3_1,TRINITY_g535365_i1_1,TRINITY_g538869_i1_1,TRINITY_g539391_i2_1,TRINITY_g539391_i3_1,TRINITY_g539391_i4_1,TRINITY_g539391_i5_1,TRINITY_g541972_i1_1,TRINITY_g56337_i1_1,TRINITY_g62931_i1_1,TRINITY_g63294_i1_1,TRINITY_g76369_i1_1,TRINITY_g81801_i1_1
